"filename", "language", "TypeScript", "Vue", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/kitchen/kitchenService.ts", "TypeScript", 142, 0, 0, 0, 38, 30, 210
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/kitchen/mocks/kitchenMockData.ts", "TypeScript", 197, 0, 0, 0, 19, 19, 235
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/kitchen/useKitchenRealtime.ts", "TypeScript", 81, 0, 0, 0, 19, 13, 113
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/menu/index.ts", "TypeScript", 23, 0, 0, 0, 2, 0, 25
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/menu/menuMock.ts", "TypeScript", 338, 0, 0, 0, 7, 7, 352
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/menu/menuService.ts", "TypeScript", 124, 0, 0, 0, 16, 19, 159
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/menu/menuStore.ts", "TypeScript", 34, 0, 0, 0, 7, 8, 49
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/menu/supabaseMappers.ts", "TypeScript", 114, 0, 0, 0, 85, 36, 235
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/menu/types.ts", "TypeScript", 127, 0, 0, 0, 17, 30, 174
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/index.ts", "TypeScript", 36, 0, 0, 0, 11, 11, 58
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/orders/composables/index.ts", "TypeScript", 2, 0, 0, 0, 1, 1, 4
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/orders/composables/useKitchenDecomposition.ts", "TypeScript", 329, 0, 0, 0, 60, 59, 448
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/orders/ordersStore.ts", "TypeScript", 3, 0, 0, 0, 1, 1, 5
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/orders/services.ts", "TypeScript", 60, 0, 0, 0, 23, 14, 97
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/orders/supabaseMappers.ts", "TypeScript", 220, 0, 0, 0, 70, 55, 345
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/orders/useOrdersRealtime.ts", "TypeScript", 76, 0, 0, 0, 17, 14, 107
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/payments/paymentsStore.ts", "TypeScript", 1, 0, 0, 0, 1, 1, 3
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/payments/services.ts", "TypeScript", 40, 0, 0, 0, 15, 9, 64
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/payments/supabaseMappers.ts", "TypeScript", 72, 0, 0, 0, 31, 23, 126
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/service/DepartmentNotificationService.ts", "TypeScript", -3, 0, 0, 0, 2, 0, -1
