Date : 2025-11-16 01:34:24
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 118 files,  16003 codes, 1434 comments, 3298 blanks, all 20735 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         36 |      5,772 |        164 |        823 |      6,759 |
| TypeScript |         71 |      5,468 |      1,127 |      1,006 |      7,601 |
| Markdown   |          7 |      4,399 |          0 |      1,352 |      5,751 |
| MS SQL     |          4 |        364 |        143 |        117 |        624 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        118 |     16,003 |      1,434 |      3,298 |     20,735 |
| About                                                                                                          |          6 |      4,201 |          0 |      1,258 |      5,459 |
| About (Files)                                                                                                  |          3 |      2,473 |          0 |        704 |      3,177 |
| About/POS                                                                                                      |          2 |        872 |          0 |        319 |      1,191 |
| About/kitchen                                                                                                  |          1 |        856 |          0 |        235 |      1,091 |
| components                                                                                                     |          1 |         22 |          2 |          2 |         26 |
| components/navigation                                                                                          |          1 |         22 |          2 |          2 |         26 |
| config                                                                                                         |          1 |         19 |          5 |          3 |         27 |
| core                                                                                                           |         13 |        971 |        191 |        240 |      1,402 |
| core (Files)                                                                                                   |          2 |         12 |          0 |          0 |         12 |
| core/initialization                                                                                            |          4 |         66 |          7 |         18 |         91 |
| core/sync                                                                                                      |          7 |        893 |        184 |        222 |      1,299 |
| core/sync (Files)                                                                                              |          2 |        480 |        113 |        123 |        716 |
| core/sync/adapters                                                                                             |          1 |        188 |         33 |         47 |        268 |
| core/sync/migrations                                                                                           |          1 |         61 |         17 |         18 |         96 |
| core/sync/storage                                                                                              |          3 |        164 |         21 |         34 |        219 |
| firebase                                                                                                       |          3 |       -159 |         -3 |        -25 |       -187 |
| firebase (Files)                                                                                               |          2 |        -78 |         -2 |        -15 |        -95 |
| firebase/services                                                                                              |          1 |        -81 |         -1 |        -10 |        -92 |
| layouts                                                                                                        |          1 |         91 |          3 |         16 |        110 |
| router                                                                                                         |          1 |         47 |          3 |          3 |         53 |
| scripts                                                                                                        |          1 |         89 |         17 |         32 |        138 |
| services                                                                                                       |          4 |        -29 |          6 |         -1 |        -24 |
| stores                                                                                                         |         42 |      3,742 |        850 |        714 |      5,306 |
| stores/account                                                                                                 |          4 |        182 |         38 |         33 |        253 |
| stores/kitchen                                                                                                 |          8 |        830 |        208 |        140 |      1,178 |
| stores/kitchen (Files)                                                                                         |          3 |        338 |         75 |         68 |        481 |
| stores/kitchen/composables                                                                                     |          4 |        295 |        114 |         53 |        462 |
| stores/kitchen/mocks                                                                                           |          1 |        197 |         19 |         19 |        235 |
| stores/menu                                                                                                    |          6 |        760 |        134 |        100 |        994 |
