"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "Markdown", "MS SQL", "JSON", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/About/BACKOFFICE/7_Packages.md", "Markdown", 0, 0, 0, 0, 259, 0, 0, 0, 79, 338
"/Users/peaker/dev/kitchen-app/backoffice/src/About/BACKOFFICE/8_Batches_ref.md", "Markdown", 0, 0, 0, 0, 400, 0, 0, 0, 189, 589
"/Users/peaker/dev/kitchen-app/backoffice/src/About/BACKOFFICE/9_1_Warehouse.md", "Markdown", 0, 0, 0, 0, 1064, 0, 0, 0, 329, 1393
"/Users/peaker/dev/kitchen-app/backoffice/src/About/BACKOFFICE/9_Department_Warehouse.md", "Markdown", 0, 0, 0, 0, 1225, 0, 0, 0, 387, 1612
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/About.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/ArchitecturApp.md", "Markdown", 0, 0, 0, 0, 384, 0, 0, 0, 102, 486
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/MeasurementUnits.md", "Markdown", 0, 0, 0, 0, 724, 0, 0, 0, 228, 952
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/Style.md", "Markdown", 0, 0, 0, 0, 96, 0, 0, 0, 31, 127
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/0.main.md", "Markdown", 0, 0, 0, 0, 272, 0, 0, 0, 110, 382
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/1.md", "Markdown", 0, 0, 0, 0, 160, 0, 0, 0, 61, 221
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/2_перенос.md", "Markdown", 0, 0, 0, 0, 159, 0, 0, 0, 9, 168
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/3_Shift.md", "Markdown", 0, 0, 0, 0, 292, 0, 0, 0, 76, 368
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/4_WorkFlow.md", "Markdown", 0, 0, 0, 0, 42, 0, 0, 0, 21, 63
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/5_OrderSection.md", "Markdown", 0, 0, 0, 0, 511, 0, 0, 0, 156, 667
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/6_Repository.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 18, 54
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/7_Implementation_Sprints.md", "Markdown", 0, 0, 0, 0, 1090, 0, 0, 0, 363, 1453
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Payment_Architecture_Final.md", "Markdown", 0, 0, 0, 0, 1313, 0, 0, 0, 280, 1593
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/SPRINT_4_POS_SHIFT_SYNC.md", "Markdown", 0, 0, 0, 0, 413, 0, 0, 0, 164, 577
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint1_Audit_Results.md", "Markdown", 0, 0, 0, 0, 242, 0, 0, 0, 118, 360
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint1_BugFix_Summary.md", "Markdown", 0, 0, 0, 0, 221, 0, 0, 0, 81, 302
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint1_Extended_Implementation.md", "Markdown", 0, 0, 0, 0, 380, 0, 0, 0, 125, 505
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint1_Payment_Implementation_Summary.md", "Markdown", 0, 0, 0, 0, 359, 0, 0, 0, 129, 488
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint1_Test_Report.md", "Markdown", 0, 0, 0, 0, 292, 0, 0, 0, 129, 421
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint2_Architecture_Diagram.md", "Markdown", 0, 0, 0, 0, 392, 0, 0, 0, 37, 429
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint2_Backoffice_Sales_Integration_Plan.md", "Markdown", 0, 0, 0, 0, 511, 0, 0, 0, 168, 679
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint2_CORRECTIONS_SUMMARY.md", "Markdown", 0, 0, 0, 0, 170, 0, 0, 0, 63, 233
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint2_Decomposition_And_Profit_Logic.md", "Markdown", 0, 0, 0, 0, 739, 0, 0, 0, 169, 908
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint2_FINAL_PLAN.md", "Markdown", 0, 0, 0, 0, 418, 0, 0, 0, 192, 610
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint2_Implementation_Summary.md", "Markdown", 0, 0, 0, 0, 357, 0, 0, 0, 147, 504
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint2_Quick_Start.md", "Markdown", 0, 0, 0, 0, 377, 0, 0, 0, 167, 544
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint2_Visual_Summary.md", "Markdown", 0, 0, 0, 0, 393, 0, 0, 0, 73, 466
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/Sprint3.md", "Markdown", 0, 0, 0, 0, 459, 0, 0, 0, 155, 614
"/Users/peaker/dev/kitchen-app/backoffice/src/About/POS/TZ_Expense_Payments.md", "Markdown", 0, 0, 0, 0, 239, 0, 0, 0, 64, 303
