Date : 2025-11-16 01:34:24
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 468 files,  137091 codes, 11904 comments, 25553 blanks, all 174548 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |        214 |     64,843 |      1,894 |      9,816 |     76,553 |
| TypeScript |        205 |     51,192 |      9,764 |      9,800 |     70,756 |
| Markdown   |         41 |     18,661 |          0 |      5,731 |     24,392 |
| JSON       |          1 |      1,476 |          0 |          1 |      1,477 |
| SCSS       |          2 |        554 |        103 |         88 |        745 |
| MS SQL     |          4 |        364 |        143 |        117 |        624 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        468 |    137,091 |     11,904 |     25,553 |    174,548 |
| . (Files)                                                                                                                          |          3 |        163 |         16 |         41 |        220 |
| About                                                                                                                              |         40 |     18,463 |          0 |      5,637 |     24,100 |
| About (Files)                                                                                                                      |          5 |      3,159 |          0 |        882 |      4,041 |
| About/BACKOFFICE                                                                                                                   |          4 |      2,948 |          0 |        984 |      3,932 |
| About/Base                                                                                                                         |          4 |      1,227 |          0 |        368 |      1,595 |
| About/POS                                                                                                                          |         26 |     10,273 |          0 |      3,168 |     13,441 |
| About/kitchen                                                                                                                      |          1 |        856 |          0 |        235 |      1,091 |
| assets                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| components                                                                                                                         |         25 |      2,944 |        179 |        471 |      3,594 |
| components (Files)                                                                                                                 |          1 |          1 |          0 |          1 |          2 |
| components/atoms                                                                                                                   |         10 |      1,135 |         86 |        213 |      1,434 |
| components/atoms (Files)                                                                                                           |          1 |        157 |          1 |         17 |        175 |
| components/atoms/buttons                                                                                                           |          4 |        348 |         62 |         62 |        472 |
| components/atoms/dropdowns                                                                                                         |          1 |         41 |          7 |          7 |         55 |
| components/atoms/feedback                                                                                                          |          1 |        200 |          1 |         42 |        243 |
| components/atoms/indicators                                                                                                        |          2 |        192 |         14 |         39 |        245 |
| components/atoms/inputs                                                                                                            |          1 |        197 |          1 |         46 |        244 |
| components/base                                                                                                                    |          1 |        124 |          0 |         14 |        138 |
| components/molecules                                                                                                               |          3 |        490 |         20 |         68 |        578 |
| components/molecules (Files)                                                                                                       |          1 |        284 |          3 |         29 |        316 |
| components/molecules/navigation                                                                                                    |          2 |        206 |         17 |         39 |        262 |
| components/navigation                                                                                                              |          5 |        643 |         60 |         91 |        794 |
| components/organisms                                                                                                               |          1 |        247 |         13 |         41 |        301 |
| components/payment-settings                                                                                                        |          4 |        304 |          0 |         43 |        347 |
| composables                                                                                                                        |          6 |        851 |        199 |        194 |      1,244 |
| config                                                                                                                             |          2 |        233 |         71 |         48 |        352 |
| core                                                                                                                               |         15 |      2,484 |        586 |        635 |      3,705 |
| core (Files)                                                                                                                       |          3 |        729 |        154 |        154 |      1,037 |
| core/initialization                                                                                                                |          5 |        862 |        248 |        259 |      1,369 |
| core/sync                                                                                                                          |          7 |        893 |        184 |        222 |      1,299 |
| core/sync (Files)                                                                                                                  |          2 |        480 |        113 |        123 |        716 |
| core/sync/adapters                                                                                                                 |          1 |        188 |         33 |         47 |        268 |
| core/sync/migrations                                                                                                               |          1 |         61 |         17 |         18 |         96 |
| core/sync/storage                                                                                                                  |          3 |        164 |         21 |         34 |        219 |
| layouts                                                                                                                            |          9 |        495 |         37 |         88 |        620 |
| layouts (Files)                                                                                                                    |          5 |        265 |         11 |         48 |        324 |
| layouts/pos                                                                                                                        |          4 |        230 |         26 |         40 |        296 |
| plugins                                                                                                                            |          1 |        101 |          1 |          2 |        104 |
| repositories                                                                                                                       |          4 |        577 |        226 |        151 |        954 |
| repositories/base                                                                                                                  |          4 |        577 |        226 |        151 |        954 |
| router                                                                                                                             |          3 |        464 |         49 |         41 |        554 |
| router (Files)                                                                                                                     |          2 |        346 |         35 |         29 |        410 |
| router/guards                                                                                                                      |          1 |        118 |         14 |         12 |        144 |
| scripts                                                                                                                            |          1 |         89 |         17 |         32 |        138 |
| services                                                                                                                           |          3 |        188 |         12 |         49 |        249 |
| stores                                                                                                                             |        141 |     45,122 |      7,812 |      8,205 |     61,139 |
| stores (Files)                                                                                                                     |          1 |        147 |          4 |         27 |        178 |
| stores/account                                                                                                                     |          8 |      3,763 |        320 |        581 |      4,664 |
| stores/account (Files)                                                                                                             |          7 |      3,512 |        279 |        518 |      4,309 |
| stores/account/composables                                                                                                         |          1 |        251 |         41 |         63 |        355 |
| stores/auth                                                                                                                        |          8 |        665 |        167 |        161 |        993 |
| stores/auth (Files)                                                                                                                |          3 |        383 |         76 |         91 |        550 |
| stores/auth/composables                                                                                                            |          3 |        100 |         44 |         32 |        176 |
| stores/auth/services                                                                                                               |          2 |        182 |         47 |         38 |        267 |
| stores/counteragents                                                                                                               |          8 |      2,220 |        394 |        473 |      3,087 |
| stores/counteragents (Files)                                                                                                       |          4 |      1,360 |        206 |        322 |      1,888 |
| stores/counteragents/composables                                                                                                   |          1 |         76 |         30 |         17 |        123 |
| stores/counteragents/integrations                                                                                                  |          1 |        218 |         51 |         61 |        330 |
| stores/counteragents/mock                                                                                                          |          1 |        347 |         74 |         33 |        454 |
| stores/counteragents/services                                                                                                      |          1 |        219 |         33 |         40 |        292 |
| stores/debug                                                                                                                       |          6 |      2,456 |        422 |        414 |      3,292 |
| stores/debug (Files)                                                                                                               |          4 |      2,010 |        254 |        329 |      2,593 |
| stores/debug/composables                                                                                                           |          2 |        446 |        168 |         85 |        699 |
| stores/kitchen                                                                                                                     |          8 |        830 |        208 |        140 |      1,178 |
| stores/kitchen (Files)                                                                                                             |          3 |        338 |         75 |         68 |        481 |
| stores/kitchen/composables                                                                                                         |          4 |        295 |        114 |         53 |        462 |
| stores/kitchen/mocks                                                                                                               |          1 |        197 |         19 |         19 |        235 |
| stores/menu                                                                                                                        |          7 |      3,716 |        298 |        287 |      4,301 |
| stores/menu (Files)                                                                                                                |          6 |      2,240 |        298 |        286 |      2,824 |
| stores/menu/base                                                                                                                   |          1 |      1,476 |          0 |          1 |      1,477 |
| stores/pos                                                                                                                         |         30 |      7,784 |      2,123 |      1,536 |     11,443 |
| stores/pos (Files)                                                                                                                 |          2 |        627 |         90 |        118 |        835 |
| stores/pos/core                                                                                                                    |          1 |         79 |         37 |         21 |        137 |
| stores/pos/mocks                                                                                                                   |          1 |        258 |         25 |         13 |        296 |
| stores/pos/orders                                                                                                                  |          9 |      2,622 |        669 |        526 |      3,817 |
| stores/pos/orders (Files)                                                                                                          |          5 |      1,782 |        402 |        346 |      2,530 |
| stores/pos/orders/composables                                                                                                      |          4 |        840 |        267 |        180 |      1,287 |
| stores/pos/payments                                                                                                                |          4 |        796 |        219 |        171 |      1,186 |
| stores/pos/service                                                                                                                 |          1 |        264 |         62 |         58 |        384 |
| stores/pos/shifts                                                                                                                  |          7 |      2,486 |        855 |        499 |      3,840 |
| stores/pos/tables                                                                                                                  |          5 |        652 |        166 |        130 |        948 |
| stores/pos/tables (Files)                                                                                                          |          4 |        557 |        110 |        108 |        775 |
| stores/pos/tables/composables                                                                                                      |          1 |         95 |         56 |         22 |        173 |
| stores/preparation                                                                                                                 |          6 |      2,475 |        249 |        407 |      3,131 |
| stores/preparation (Files)                                                                                                         |          5 |      2,092 |        167 |        344 |      2,603 |
| stores/preparation/composables                                                                                                     |          1 |        383 |         82 |         63 |        528 |
| stores/productsStore                                                                                                               |          9 |      2,475 |        298 |        492 |      3,265 |
| stores/productsStore (Files)                                                                                                       |          4 |      1,280 |        163 |        259 |      1,702 |
| stores/productsStore/composables                                                                                                   |          5 |      1,195 |        135 |        233 |      1,563 |
| stores/recipes                                                                                                                     |         12 |      3,442 |        719 |        716 |      4,877 |
| stores/recipes (Files)                                                                                                             |          6 |      1,589 |        234 |        277 |      2,100 |
| stores/recipes/composables                                                                                                         |          6 |      1,853 |        485 |        439 |      2,777 |
| stores/sales                                                                                                                       |         10 |      1,683 |        327 |        259 |      2,269 |
| stores/sales (Files)                                                                                                               |          4 |        666 |        129 |         94 |        889 |
| stores/sales/composables                                                                                                           |          1 |        200 |         46 |         34 |        280 |
| stores/sales/recipeWriteOff                                                                                                        |          5 |        817 |        152 |        131 |      1,100 |
| stores/sales/recipeWriteOff (Files)                                                                                                |          4 |        600 |        104 |         84 |        788 |
| stores/sales/recipeWriteOff/composables                                                                                            |          1 |        217 |         48 |         47 |        312 |
| stores/shared                                                                                                                      |          5 |      3,065 |        353 |        536 |      3,954 |
| stores/storage                                                                                                                     |          8 |      3,441 |        622 |        694 |      4,757 |
| stores/storage (Files)                                                                                                             |          5 |      2,250 |        351 |        464 |      3,065 |
| stores/storage/composables                                                                                                         |          3 |      1,191 |        271 |        230 |      1,692 |
| stores/supplier_2                                                                                                                  |         15 |      6,960 |      1,308 |      1,482 |      9,750 |
| stores/supplier_2 (Files)                                                                                                          |          4 |      2,616 |        280 |        556 |      3,452 |
| stores/supplier_2/__tests__                                                                                                        |          1 |        363 |         22 |         55 |        440 |
| stores/supplier_2/composables                                                                                                      |          5 |      2,892 |        792 |        643 |      4,327 |
| stores/supplier_2/integrations                                                                                                     |          4 |        926 |        132 |        195 |      1,253 |
| stores/supplier_2/types                                                                                                            |          1 |        163 |         82 |         33 |        278 |
| styles                                                                                                                             |          2 |        554 |        103 |         88 |        745 |
| supabase                                                                                                                           |         10 |      1,357 |        201 |        253 |      1,811 |
| supabase (Files)                                                                                                                   |          6 |        993 |         58 |        136 |      1,187 |
| supabase/migrations                                                                                                                |          4 |        364 |        143 |        117 |        624 |
| types                                                                                                                              |          9 |        328 |         66 |         52 |        446 |
| utils                                                                                                                              |          7 |      1,147 |        369 |        254 |      1,770 |
| views                                                                                                                              |        186 |     61,530 |      1,960 |      9,312 |     72,802 |
| views (Files)                                                                                                                      |          2 |        228 |          9 |         39 |        276 |
| views/Preparation                                                                                                                  |         17 |      6,246 |        316 |        852 |      7,414 |
| views/Preparation (Files)                                                                                                          |          1 |        511 |         16 |         80 |        607 |
| views/Preparation/components                                                                                                       |         16 |      5,735 |        300 |        772 |      6,807 |
| views/Preparation/components (Files)                                                                                               |         12 |      4,341 |        260 |        562 |      5,163 |
| views/Preparation/components/writeoff                                                                                              |          4 |      1,394 |         40 |        210 |      1,644 |
| views/accounts                                                                                                                     |         17 |      3,633 |         74 |        512 |      4,219 |
| views/accounts (Files)                                                                                                             |          2 |        753 |         19 |        111 |        883 |
| views/accounts/components                                                                                                          |         15 |      2,880 |         55 |        401 |      3,336 |
| views/accounts/components/detail                                                                                                   |          3 |        453 |          0 |         58 |        511 |
| views/accounts/components/dialogs                                                                                                  |          8 |      1,679 |         43 |        230 |      1,952 |
