"filename", "language", "Vue", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/views/counteragents/components/counteragents/CounteragentPaymentsSimple.vue", "Vue", 702, 0, 0, 10, 124, 836
"/Users/peaker/dev/kitchen-app/backoffice/src/views/counteragents/components/counteragents/CounteragentsTable.vue", "Vue", 28, 0, 0, 3, 2, 33
"/Users/peaker/dev/kitchen-app/backoffice/src/views/counteragents/components/dialogs/BalanceCorrectionDialog.vue", "Vue", 335, 0, 0, 8, 49, 392
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/SupplierView.vue", "Vue", -416, 0, 0, -2, -78, -496
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/AttachBillDialog.vue", "Vue", 324, 0, 0, 11, 55, 390
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/BaseSupplierBaskets.vue", "Vue", -2, 0, 0, 0, 0, -2
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/BillStatus.vue", "Vue", -102, 0, 0, -6, -17, -125
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/OrderReceiptWidget.vue", "Vue", 196, 0, 0, 4, 29, 229
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderDetailsDialog.vue", "Vue", 170, 0, 0, 7, 23, 200
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderEditDialog.vue", "Vue", 3, 0, 0, 0, 0, 3
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderPayment.vue", "Vue", -9, 0, 0, 3, 1, -5
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderTable.vue", "Vue", 31, 0, 0, 1, -8, 24
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/receipts/ReceiptTable.vue", "Vue", 16, 0, 0, 0, 2, 18
"Total", "-", 2674, 3621, -4790, 625, -86, 2044
