Date : 2025-11-08 16:42:50
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 91 files,  15791 codes, 973 comments, 3573 blanks, all 20337 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Markdown   |         18 |      7,952 |          0 |      2,449 |     10,401 |
| TypeScript |         41 |      3,272 |        876 |        673 |      4,821 |
| Vue        |         31 |      3,091 |         97 |        450 |      3,638 |
| JSON       |          1 |      1,476 |          0 |          1 |      1,477 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         91 |     15,791 |        973 |      3,573 |     20,337 |
| About                                                                                                     |         18 |      7,952 |          0 |      2,449 |     10,401 |
| About/BACKOFFICE                                                                                          |          1 |         23 |          0 |         51 |         74 |
| About/POS                                                                                                 |         17 |      7,929 |          0 |      2,398 |     10,327 |
| components                                                                                                |          1 |         47 |          4 |          4 |         55 |
| components/navigation                                                                                     |          1 |         47 |          4 |          4 |         55 |
| core                                                                                                      |          6 |        602 |        240 |        189 |      1,031 |
| core (Files)                                                                                              |          1 |       -194 |         -1 |        -52 |       -247 |
| core/initialization                                                                                       |          5 |        796 |        241 |        241 |      1,278 |
| router                                                                                                    |          1 |         50 |          2 |          0 |         52 |
| stores                                                                                                    |         35 |      4,096 |        634 |        485 |      5,215 |
| stores/debug                                                                                              |          2 |         52 |          0 |          2 |         54 |
| stores/menu                                                                                               |          1 |      1,476 |          0 |          1 |      1,477 |
| stores/menu/base                                                                                          |          1 |      1,476 |          0 |          1 |      1,477 |
| stores/pos                                                                                                |         10 |        190 |        109 |         64 |        363 |
| stores/pos (Files)                                                                                        |          2 |         27 |          7 |         13 |         47 |
| stores/pos/core                                                                                           |          1 |          1 |          0 |          0 |          1 |
| stores/pos/orders                                                                                         |          4 |         87 |         66 |         32 |        185 |
| stores/pos/orders (Files)                                                                                 |          3 |        -34 |         35 |          4 |          5 |
| stores/pos/orders/composables                                                                             |          1 |        121 |         31 |         28 |        180 |
| stores/pos/payments                                                                                       |          2 |         80 |         36 |         20 |        136 |
| stores/pos/tables                                                                                         |          1 |         -5 |          0 |         -1 |         -6 |
| stores/recipes                                                                                            |          1 |          7 |          2 |          2 |         11 |
| stores/sales                                                                                              |         10 |      1,683 |        327 |        259 |      2,269 |
| stores/sales (Files)                                                                                      |          4 |        666 |        129 |         94 |        889 |
| stores/sales/composables                                                                                  |          1 |        200 |         46 |         34 |        280 |
| stores/sales/recipeWriteOff                                                                               |          5 |        817 |        152 |        131 |      1,100 |
| stores/sales/recipeWriteOff (Files)                                                                       |          4 |        600 |        104 |         84 |        788 |
| stores/sales/recipeWriteOff/composables                                                                   |          1 |        217 |         48 |         47 |        312 |
| stores/shared                                                                                             |          1 |         -8 |         -9 |         -2 |        -19 |
| stores/storage                                                                                            |          7 |        690 |        202 |        158 |      1,050 |
| stores/storage (Files)                                                                                    |          4 |        -61 |         26 |          5 |        -30 |
| stores/storage/composables                                                                                |          3 |        751 |        176 |        153 |      1,080 |
| stores/supplier_2                                                                                         |          3 |          6 |          3 |          1 |         10 |
| stores/supplier_2/composables                                                                             |          2 |          5 |          2 |          2 |          9 |
| stores/supplier_2/integrations                                                                            |          1 |          1 |          1 |         -1 |          1 |
| views                                                                                                     |         30 |      3,044 |         93 |        446 |      3,583 |
| views/backoffice                                                                                          |          3 |      1,066 |         22 |        125 |      1,213 |
| views/backoffice/inventory                                                                                |          1 |        405 |          8 |         48 |        461 |
| views/backoffice/sales                                                                                    |          2 |        661 |         14 |         77 |        752 |
| views/menu                                                                                                |          1 |          3 |          0 |          0 |          3 |
| views/menu/components                                                                                     |          1 |          3 |          0 |          0 |          3 |
| views/payments                                                                                            |          2 |        430 |         17 |         70 |        517 |
| views/payments/components                                                                                 |          2 |        430 |         17 |         70 |        517 |
| views/pos                                                                                                 |         16 |      1,632 |         48 |        262 |      1,942 |
| views/pos (Files)                                                                                         |          1 |         11 |          0 |          1 |         12 |
| views/pos/components                                                                                      |          2 |         14 |          1 |          2 |         17 |
| views/pos/order                                                                                           |          6 |        130 |         -3 |         23 |        150 |
