"filename", "language", "TypeScript", "Vue", "JSON", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/sales/recipeWriteOff/recipeWriteOffStore.ts", "TypeScript", 180, 0, 0, 0, 35, 29, 244
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/sales/recipeWriteOff/services.ts", "TypeScript", 354, 0, 0, 0, 37, 35, 426
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/sales/recipeWriteOff/types.ts", "TypeScript", 62, 0, 0, 0, 28, 16, 106
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/sales/salesStore.ts", "TypeScript", 240, 0, 0, 0, 44, 34, 318
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/sales/services.ts", "TypeScript", 322, 0, 0, 0, 32, 31, 385
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/sales/types.ts", "TypeScript", 90, 0, 0, 0, 48, 24, 162
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/storageDefinitions.ts", "TypeScript", -8, 0, 0, 0, -9, -2, -19
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/composables/useInventory.ts", "TypeScript", 163, 0, 0, 0, 63, 49, 275
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/composables/useWriteOff-copy.ts", "TypeScript", 479, 0, 0, 0, 100, 84, 663
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/composables/useWriteOff.ts", "TypeScript", 109, 0, 0, 0, 13, 20, 142
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/index.ts", "TypeScript", 2, 0, 0, 0, 1, 1, 4
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/storageService.ts", "TypeScript", -91, 0, 0, 0, 15, -10, -86
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/storageStore.ts", "TypeScript", 14, 0, 0, 0, 9, 10, 33
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/types.ts", "TypeScript", 14, 0, 0, 0, 1, 4, 19
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useOrderAssistant.ts", "TypeScript", 4, 0, 0, 0, 2, 1, 7
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useReceipts.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/integrations/storageIntegration.ts", "TypeScript", 1, 0, 0, 0, 1, -1, 1
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/inventory/WriteOffHistoryView.vue", "Vue", 0, 405, 0, 0, 8, 48, 461
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/sales/SalesAnalyticsView.vue", "Vue", 0, 273, 0, 0, 7, 33, 313
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/sales/SalesTransactionsView.vue", "Vue", 0, 388, 0, 0, 7, 44, 439
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/MenuItemDialog.vue", "Vue", 0, 3, 0, 0, 0, 0, 3
"/Users/peaker/dev/kitchen-app/backoffice/src/views/payments/components/PaymentHistoryWidget.vue", "Vue", 0, 234, 0, 0, 11, 38, 283
"/Users/peaker/dev/kitchen-app/backoffice/src/views/payments/components/RefundDialog.vue", "Vue", 0, 196, 0, 0, 6, 32, 234
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/PosMainView.vue", "Vue", 0, 11, 0, 0, 0, 1, 12
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/components/PaymentDialog.vue", "Vue", 0, 11, 0, 0, 0, 1, 12
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/components/PosNavigationMenu.vue", "Vue", 0, 3, 0, 0, 1, 1, 5
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/OrderSection.vue", "Vue", 0, 168, 0, 0, 1, 25, 194
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/BillItem.vue", "Vue", 0, 38, 0, 0, 0, 6, 44
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/BillsManager.vue", "Vue", 0, 5, 0, 0, 0, 1, 6
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/BillsTabs.vue", "Vue", 0, 3, 0, 0, 0, 0, 3
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/OrderActions.vue", "Vue", 0, 47, 0, 0, 0, 7, 54
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/CheckoutDialog.vue", "Vue", 0, -131, 0, 0, -4, -16, -151
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/payment/PaymentDialog.vue", "Vue", 0, 292, 0, 0, 10, 44, 346
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/payment/widgets/PaymentItemsList.vue", "Vue", 0, 150, 0, 0, 3, 28, 181
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/ShiftManagementView.vue", "Vue", 0, 409, 0, 0, 10, 59, 478
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/PaymentDetailsDialog.vue", "Vue", 0, 398, 0, 0, 20, 65, 483
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/RefundDialog.vue", "Vue", 0, 151, 0, 0, 7, 23, 181
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/TableItem.vue", "Vue", 0, 28, 0, 0, 0, 7, 35
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/TablesSidebar.vue", "Vue", 0, 49, 0, 0, 0, 10, 59
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/StorageView.vue", "Vue", 0, -107, 0, 0, 3, -17, -121
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/InventoryDialog.vue", "Vue", 0, -45, 0, 0, 0, 4, -41
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/StorageStockTable.vue", "Vue", 0, 46, 0, 0, 1, 6, 53
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/ProductCard.vue", "Vue", 0, 1, 0, 0, 0, -1, 0
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/ProductListRow.vue", "Vue", 0, 1, 0, 0, 0, 0, 1
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/ProductSelectorWidget.vue", "Vue", 0, -18, 0, 0, 0, -5, -23
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/WriteOffDialog.vue", "Vue", 0, 34, 0, 0, 2, 2, 38
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/WriteOffQuantityDialog.vue", "Vue", 0, 1, 0, 0, 0, 0, 1
"Total", "-", 3272, 3091, 1476, 7952, 973, 3573, 20337
