"filename", "language", "TypeScript", "Vue", "MS SQL", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/analytics/PLReportView.vue", "Vue", 0, -14, 0, 0, 0, 0, 1, 0, -13
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/analytics/RevenueDashboardView.vue", "Vue", 0, 381, 0, 0, 0, 0, 13, 45, 439
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/reports/PrintDocsView.vue", "Vue", 0, 203, 0, 0, 0, 0, 6, 23, 232
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/reports/composables/useInventorySheet.ts", "TypeScript", 497, 0, 0, 0, 0, 0, 92, 79, 668
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/reports/dialogs/InventorySheetOptionsDialog.vue", "Vue", 0, 129, 0, 0, 0, 0, 4, 17, 150
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/reports/dialogs/MenuCostOptionsDialog.vue", "Vue", 0, 116, 0, 0, 0, 0, 4, 16, 136
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/reports/dialogs/ProductYieldOptionsDialog.vue", "Vue", 0, 96, 0, 0, 0, 0, 2, 14, 112
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/salary/SalaryIndexView.vue", "Vue", 0, 107, 0, 0, 0, 0, 4, 21, 132
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/salary/kpi/FoodCostKpiView.vue", "Vue", 0, 123, 0, 0, 0, 0, 6, 21, 150
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/salary/kpi/KitchenTimeKpiView.vue", "Vue", 0, 594, 0, 0, 0, 0, 9, 65, 668
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/settings/KpiSettingsView.vue", "Vue", 0, 369, 0, 0, 0, 0, 11, 47, 427
"/Users/peaker/dev/kitchen-app/backoffice/src/views/backoffice/settings/components/WriteOffReasonsSettings.vue", "Vue", 0, 181, 0, 0, 0, 0, 8, 18, 207
"/Users/peaker/dev/kitchen-app/backoffice/src/views/catalog/payment-methods/PaymentMethodDialog.vue", "Vue", 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/peaker/dev/kitchen-app/backoffice/src/views/counteragents/components/counteragents/CounteragentCard.vue", "Vue", 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/peaker/dev/kitchen-app/backoffice/src/views/counteragents/components/counteragents/CounteragentPaymentsSimple.vue", "Vue", 0, 23, 0, 0, 0, 0, 0, 3, 26
