Date : 2025-12-14 08:34:48
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 346 files,  44194 codes, 5080 comments, 7077 blanks, all 56351 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |        145 |     28,109 |        705 |      3,454 |     32,268 |
| TypeScript |        145 |     13,750 |      3,722 |      2,600 |     20,072 |
| Markdown   |         11 |      1,891 |          4 |        618 |      2,513 |
| MS SQL     |         42 |      1,794 |        627 |        376 |      2,797 |
| SCSS       |          2 |        126 |         22 |         30 |        178 |
| JSON       |          1 |     -1,476 |          0 |         -1 |     -1,477 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        346 |     44,194 |      5,080 |      7,077 |     56,351 |
| . (Files)                                                                                                                            |          1 |          8 |          0 |          1 |          9 |
| About                                                                                                                                |         10 |      1,910 |          4 |        624 |      2,538 |
| About/docs                                                                                                                           |         10 |      1,910 |          4 |        624 |      2,538 |
| About/docs (Files)                                                                                                                   |          3 |        366 |          4 |        118 |        488 |
| About/docs/core                                                                                                                      |          3 |        440 |          0 |        149 |        589 |
| About/docs/kpi                                                                                                                       |          1 |         67 |          0 |         37 |        104 |
| About/docs/sale                                                                                                                      |          2 |        804 |          0 |        231 |      1,035 |
| About/docs/sale/write-off                                                                                                            |          2 |        804 |          0 |        231 |      1,035 |
| About/docs/supplier                                                                                                                  |          1 |        233 |          0 |         89 |        322 |
| components                                                                                                                           |          1 |         96 |          9 |         12 |        117 |
| components/navigation                                                                                                                |          1 |         96 |          9 |         12 |        117 |
| composables                                                                                                                          |          3 |        233 |         67 |         51 |        351 |
| config                                                                                                                               |          1 |          6 |          2 |          2 |         10 |
| core                                                                                                                                 |         54 |     10,610 |      1,709 |      1,844 |     14,163 |
| core/background                                                                                                                      |          3 |        586 |        116 |        120 |        822 |
| core/cost                                                                                                                            |          1 |        400 |        104 |         73 |        577 |
| core/decomposition                                                                                                                   |         11 |      1,475 |        564 |        297 |      2,336 |
| core/decomposition (Files)                                                                                                           |          3 |        663 |        212 |        134 |      1,009 |
| core/decomposition/adapters                                                                                                          |          4 |        301 |        134 |         65 |        500 |
| core/decomposition/utils                                                                                                             |          4 |        511 |        218 |         98 |        827 |
| core/export                                                                                                                          |         23 |      6,720 |        476 |      1,030 |      8,226 |
| core/export (Files)                                                                                                                  |          4 |        728 |         96 |         97 |        921 |
| core/export/components                                                                                                               |          2 |        258 |          5 |         43 |        306 |
| core/export/composables                                                                                                              |          1 |        232 |         54 |         31 |        317 |
| core/export/styles                                                                                                                   |          1 |        114 |         12 |         26 |        152 |
| core/export/templates                                                                                                                |         11 |      4,121 |         72 |        610 |      4,803 |
| core/export/utils                                                                                                                    |          4 |      1,267 |        237 |        223 |      1,727 |
| core/initialization                                                                                                                  |          4 |        113 |         24 |         24 |        161 |
| core/pwa                                                                                                                             |          6 |        731 |        306 |        174 |      1,211 |
| core/pwa (Files)                                                                                                                     |          2 |         72 |         59 |         15 |        146 |
| core/pwa/composables                                                                                                                 |          3 |        379 |        166 |        107 |        652 |
| core/pwa/services                                                                                                                    |          1 |        280 |         81 |         52 |        413 |
| core/sync                                                                                                                            |          6 |        585 |        119 |        126 |        830 |
| core/sync (Files)                                                                                                                    |          1 |         11 |          1 |          0 |         12 |
| core/sync/adapters                                                                                                                   |          5 |        574 |        118 |        126 |        818 |
| help                                                                                                                                 |         21 |      7,299 |        178 |        618 |      8,095 |
| help (Files)                                                                                                                         |          3 |        485 |         20 |         48 |        553 |
| help/backoffice                                                                                                                      |          5 |      3,368 |         84 |        248 |      3,700 |
| help/backoffice (Files)                                                                                                              |          1 |        185 |          5 |         19 |        209 |
| help/backoffice/guides                                                                                                               |          4 |      3,183 |         79 |        229 |      3,491 |
| help/kitchen                                                                                                                         |          5 |      1,884 |         36 |        178 |      2,098 |
| help/kitchen (Files)                                                                                                                 |          1 |        167 |          5 |         18 |        190 |
| help/kitchen/guides                                                                                                                  |          4 |      1,717 |         31 |        160 |      1,908 |
| help/pos                                                                                                                             |          8 |      1,562 |         38 |        144 |      1,744 |
| help/pos (Files)                                                                                                                     |          1 |        142 |          5 |         18 |        165 |
| help/pos/guides                                                                                                                      |          7 |      1,420 |         33 |        126 |      1,579 |
| router                                                                                                                               |          1 |         87 |          6 |          3 |         96 |
| stores                                                                                                                               |         96 |      4,954 |      1,878 |      1,270 |      8,102 |
