"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "MS SQL", "Markdown", "JSON", "Python", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/composables/usePlatform.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 0, 42, 35, 183
"/Users/peaker/dev/kitchen-app/backoffice/src/composables/useVuetifyBreakpoints.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28
"/Users/peaker/dev/kitchen-app/backoffice/src/config/environment.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 0, 0, 69, 42, 286
"/Users/peaker/dev/kitchen-app/backoffice/src/config/users.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 4, 8, 78
"/Users/peaker/dev/kitchen-app/backoffice/src/config/validateEnv.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 43, 26, 201
"/Users/peaker/dev/kitchen-app/backoffice/src/core/appInitializer.ts", "TypeScript", 272, 0, 0, 0, 0, 0, 0, 0, 52, 57, 381
"/Users/peaker/dev/kitchen-app/backoffice/src/core/appInitializerTests.ts", "TypeScript", 443, 0, 0, 0, 0, 0, 0, 0, 84, 93, 620
"/Users/peaker/dev/kitchen-app/backoffice/src/core/connection/ConnectionHealthMonitor.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 0, 0, 45, 40, 260
"/Users/peaker/dev/kitchen-app/backoffice/src/core/hmrState.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 35, 21, 143
"/Users/peaker/dev/kitchen-app/backoffice/src/core/initialization/DevInitializationStrategy.ts", "TypeScript", 444, 0, 0, 0, 0, 0, 0, 0, 47, 124, 615
"/Users/peaker/dev/kitchen-app/backoffice/src/core/initialization/ProductionInitializationStrategy.ts", "TypeScript", 318, 0, 0, 0, 0, 0, 0, 0, 90, 97, 505
"/Users/peaker/dev/kitchen-app/backoffice/src/core/initialization/dependencies.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 93, 44, 238
