Date : 2025-12-04 01:29:01
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 374 files,  12817 codes, 5306 comments, -1012 blanks, all 17111 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| MS SQL     |         66 |     14,148 |      2,274 |      1,526 |     17,948 |
| Vue        |         86 |      7,338 |        192 |        870 |      8,400 |
| TypeScript |        168 |      7,121 |      2,773 |      1,374 |     11,268 |
| Python     |          4 |        178 |         67 |         47 |        292 |
| JSON       |          5 |        165 |          0 |          5 |        170 |
| SCSS       |          1 |          1 |          0 |          0 |          1 |
| Markdown   |         44 |    -16,134 |          0 |     -4,834 |    -20,968 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        374 |     12,817 |      5,306 |     -1,012 |     17,111 |
| . (Files)                                                                                                                                 |          3 |        121 |          0 |         14 |        135 |
| About                                                                                                                                     |         40 |    -16,751 |          0 |     -5,047 |    -21,798 |
| About (Files)                                                                                                                             |          5 |     -3,159 |          0 |       -882 |     -4,041 |
| About/BACKOFFICE                                                                                                                          |          4 |     -2,948 |          0 |       -984 |     -3,932 |
| About/POS                                                                                                                                 |         26 |    -10,273 |          0 |     -3,168 |    -13,441 |
| About/docs                                                                                                                                |          4 |        485 |          0 |        222 |        707 |
| About/docs (Files)                                                                                                                        |          1 |         53 |          0 |         28 |         81 |
| About/docs/core                                                                                                                           |          3 |        432 |          0 |        194 |        626 |
| About/kitchen                                                                                                                             |          1 |       -856 |          0 |       -235 |     -1,091 |
| components                                                                                                                                |          5 |       -161 |          4 |        -11 |       -168 |
| components (Files)                                                                                                                        |          1 |         25 |          0 |          6 |         31 |
| components/navigation                                                                                                                     |          2 |        -25 |          4 |          6 |        -15 |
| components/payment-settings                                                                                                               |          2 |       -161 |          0 |        -23 |       -184 |
| composables                                                                                                                               |          3 |        115 |         31 |         25 |        171 |
| config                                                                                                                                    |          2 |        140 |         45 |         28 |        213 |
| core                                                                                                                                      |         13 |        631 |        200 |        140 |        971 |
| core (Files)                                                                                                                              |          4 |        229 |         76 |         43 |        348 |
| core/connection                                                                                                                           |          1 |        175 |         45 |         40 |        260 |
| core/initialization                                                                                                                       |          4 |         47 |         18 |         19 |         84 |
| core/request                                                                                                                              |          1 |         80 |         38 |         17 |        135 |
| core/sync                                                                                                                                 |          3 |        100 |         23 |         21 |        144 |
| core/sync (Files)                                                                                                                         |          1 |         -1 |          0 |          0 |         -1 |
| core/sync/adapters                                                                                                                        |          1 |        101 |         22 |         21 |        144 |
| core/sync/migrations                                                                                                                      |          1 |          0 |          1 |          0 |          1 |
| data-migration                                                                                                                            |         23 |     12,403 |      1,026 |      1,029 |     14,458 |
| data-migration (Files)                                                                                                                    |          5 |        345 |         67 |         96 |        508 |
| data-migration/mappings                                                                                                                   |          8 |        435 |         83 |         64 |        582 |
| data-migration/scripts                                                                                                                    |          3 |        776 |        165 |        156 |      1,097 |
| data-migration/sql                                                                                                                        |          7 |     10,847 |        711 |        713 |     12,271 |
| plugins                                                                                                                                   |          1 |          8 |          1 |          1 |         10 |
| router                                                                                                                                    |          1 |         67 |          8 |          2 |         77 |
| scripts                                                                                                                                   |         13 |      1,028 |        115 |        148 |      1,291 |
| scripts (Files)                                                                                                                           |          5 |        321 |         28 |         66 |        415 |
| scripts/seed                                                                                                                              |          8 |        707 |         87 |         82 |        876 |
| services                                                                                                                                  |          1 |        -46 |         -5 |        -14 |        -65 |
| stores                                                                                                                                    |        121 |      1,970 |      2,038 |        917 |      4,925 |
| stores (Files)                                                                                                                            |          1 |       -147 |         -4 |        -27 |       -178 |
| stores/account                                                                                                                            |         12 |       -695 |        208 |         74 |       -413 |
| stores/analytics                                                                                                                          |          6 |      1,387 |        259 |        263 |      1,909 |
| stores/auth                                                                                                                               |          3 |        238 |         67 |         58 |        363 |
| stores/auth (Files)                                                                                                                       |          1 |        239 |         56 |         55 |        350 |
| stores/auth/services                                                                                                                      |          2 |         -1 |         11 |          3 |         13 |
| stores/catalog                                                                                                                            |          2 |        314 |         46 |         60 |        420 |
| stores/counteragents                                                                                                                      |          5 |       -241 |        -67 |        -39 |       -347 |
| stores/counteragents (Files)                                                                                                              |          3 |         89 |         16 |          2 |        107 |
| stores/counteragents/integrations                                                                                                         |          1 |         17 |         -9 |         -8 |          0 |
| stores/counteragents/mock                                                                                                                 |          1 |       -347 |        -74 |        -33 |       -454 |
| stores/debug                                                                                                                              |          1 |          2 |          1 |          0 |          3 |
| stores/discounts                                                                                                                          |          7 |      1,138 |        485 |        201 |      1,824 |
| stores/discounts (Files)                                                                                                                  |          4 |        518 |        219 |         88 |        825 |
| stores/discounts/services                                                                                                                 |          3 |        620 |        266 |        113 |        999 |
