"filename", "language", "TypeScript", "Vue", "MS SQL", "SCSS", "Markdown", "Python", "JSON", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/deprecated/101_temp_disable_rls_discount_events.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 17, 5, 23
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/deprecated/102_enable_rls_with_uid_check.sql", "MS SQL", 0, 0, 7, 0, 0, 0, 0, 21, 8, 36
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/deprecated/README.md", "Markdown", 0, 0, 0, 0, 66, 0, 0, 0, 34, 100
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/types.gen.ts", "TypeScript", 2693, 0, 0, 0, 0, 0, 0, -2, 7, 2698
"/Users/peaker/dev/kitchen-app/backoffice/src/types/payment.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 15, 3, 45
"/Users/peaker/dev/kitchen-app/backoffice/src/types/scss.d.ts", "TypeScript", -15, 0, 0, 0, 0, 0, 0, -1, -1, -17
"/Users/peaker/dev/kitchen-app/backoffice/src/utils/currency.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 4, 1, 12
"/Users/peaker/dev/kitchen-app/backoffice/src/utils/debugger.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 4
"/Users/peaker/dev/kitchen-app/backoffice/src/utils/errors.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 34, 17, 134
"/Users/peaker/dev/kitchen-app/backoffice/src/utils/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/peaker/dev/kitchen-app/backoffice/src/utils/supabase.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 56, 8, 110
"/Users/peaker/dev/kitchen-app/backoffice/src/views/PaymentSettingsView.vue", "Vue", 0, -108, 0, 0, 0, 0, 0, -4, -20, -132
"/Users/peaker/dev/kitchen-app/backoffice/src/views/Preparation/PreparationView.vue", "Vue", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/peaker/dev/kitchen-app/backoffice/src/views/Preparation/components/AddPreparationProductionItemDialog.vue", "Vue", 0, -124, 0, 0, 0, 0, 0, -5, -21, -150
