"filename", "language", "TypeScript", "Vue", "MS SQL", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/components/KitchenSidebar.vue", "Vue", 0, 25, 0, 0, 1, 3, 29
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/orders/OrdersScreen.vue", "Vue", 0, 41, 0, 0, 0, 10, 51
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/MenuView.vue", "Vue", 0, 112, 0, 0, 4, 21, 137
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/MenuItem.vue", "Vue", 0, 15, 0, 0, 0, 2, 17
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/MenuItemDialog.vue", "Vue", 0, 18, 0, 0, 2, 1, 21
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/dialogs/ConvertDishTypeDialog.vue", "Vue", 0, 189, 0, 0, 3, 28, 220
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/PosMainView.vue", "Vue", 0, 14, 0, 0, 0, 1, 15
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/components/PaymentDialog.vue", "Vue", 0, 35, 0, 0, -1, 5, 39
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/OrderSection.vue", "Vue", 0, 231, 0, 0, 1, 40, 272
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/BillItem.vue", "Vue", 0, 7, 0, 0, 1, 2, 10
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/BillsManager.vue", "Vue", 0, 4, 0, 0, 0, 0, 4
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/OrderInfo.vue", "Vue", 0, 105, 0, 0, 6, 29, 140
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/OrderTotals.vue", "Vue", 0, -22, 0, 0, -3, -5, -30
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/BillDiscountDialog.vue", "Vue", 0, 151, 0, 0, 3, 23, 177
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/ItemDiscountDialog.vue", "Vue", 0, 52, 0, 0, 1, 7, 60
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/OrderTypeDialog.vue", "Vue", 0, 201, 0, 0, 6, 25, 232
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/TableSelectionDialog.vue", "Vue", 0, 188, 0, 0, 5, 27, 220
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/payment/PaymentDialog.vue", "Vue", 0, 63, 0, 0, 0, 7, 70
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/ShiftManagementView.vue", "Vue", 0, 1, 0, 0, 2, 4, 7
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/EndShiftDialog.vue", "Vue", 0, 17, 0, 0, 0, 2, 19
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/TablesSidebar.vue", "Vue", 0, -19, 0, 0, 0, -3, -22
"/Users/peaker/dev/kitchen-app/backoffice/src/views/products/ProductsView.vue", "Vue", 0, 21, 0, 0, 0, 2, 23
"/Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/ProductDetailsDialog.vue", "Vue", 0, 5, 0, 0, 0, 0, 5
