Date : 2025-12-26 11:04:30
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 797 files,  216654 codes, 24812 comments, 35585 blanks, all 277051 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/BillItemEditDialog.vue                                               | Vue        |         50 |          1 |          8 |         59 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/BulkActionsDialog.vue                                                | Vue        |        141 |          6 |         17 |        164 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/ItemDiscountDialog.vue                                               | Vue        |        333 |          8 |         44 |        385 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/MoveItemsDialog.vue                                                  | Vue        |         70 |          3 |         12 |         85 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/OrderTypeDialog.vue                                                  | Vue        |        278 |          7 |         37 |        322 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/TableSelectionDialog.vue                                             | Vue        |        188 |          5 |         27 |        220 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/payment/PaymentDialog.vue                                                          | Vue        |        479 |         14 |         71 |        564 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/payment/widgets/PaymentItemsList.vue                                               | Vue        |        208 |          5 |         38 |        251 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/receipts/PosReceiptsView.vue                                                       | Vue        |        264 |         17 |         42 |        323 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/receipts/components/PaymentInfoWidget.vue                                          | Vue        |         97 |          5 |         19 |        121 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/receipts/components/PendingOrdersList.vue                                          | Vue        |        109 |          4 |         19 |        132 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/receipts/components/ReceiptForm.vue                                                | Vue        |        239 |          6 |         32 |        277 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/receipts/components/ReceiptItemRow.vue                                             | Vue        |        420 |         10 |         67 |        497 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/receipts/dialogs/ConfirmReceiptDialog.vue                                          | Vue        |        199 |          6 |         33 |        238 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/receipts/dialogs/PackageChangeDialog.vue                                           | Vue        |        137 |          0 |         28 |        165 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/receipts/dialogs/ReceiptDialog.vue                                                 | Vue        |        396 |         11 |         69 |        476 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/ShiftManagementView.vue                                                     | Vue        |        702 |         23 |        108 |        833 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/components/PendingSupplierPaymentsList.vue                                  | Vue        |        144 |          5 |         17 |        166 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/components/ShiftExpensesList.vue                                            | Vue        |        158 |          6 |         23 |        187 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/components/ShiftTransfersList.vue                                           | Vue        |         71 |          1 |         13 |         85 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/EndShiftDialog.vue                                                  | Vue        |        659 |         15 |        101 |        775 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/ExpenseOperationDialog.vue                                          | Vue        |        256 |         11 |         32 |        299 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/PaymentDetailsDialog.vue                                            | Vue        |        398 |         20 |         65 |        483 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/RefundDialog.vue                                                    | Vue        |        151 |          7 |         23 |        181 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/StartShiftDialog.vue                                                | Vue        |        359 |         12 |         60 |        431 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/SupplierPaymentConfirmDialog.vue                                    | Vue        |        351 |         10 |         53 |        414 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/OrderItem.vue                                                               | Vue        |        417 |          7 |         72 |        496 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/TableItem.vue                                                               | Vue        |        243 |          3 |         47 |        293 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/TablesSidebar.vue                                                           | Vue        |        516 |          8 |         93 |        617 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/components/SidebarItem.vue                                                  | Vue        |        419 |          5 |         83 |        507 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/dialogs/OrderTypeDialog.vue                                                 | Vue        |        204 |          5 |         41 |        250 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/products/ProductsView.vue                                                              | Vue        |        422 |         10 |         60 |        492 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/PriceHistoryWidget.vue                                             | Vue        |        589 |         13 |        100 |        702 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/ProductCard.vue                                                    | Vue        |        406 |         13 |         51 |        470 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/ProductDetailsDialog.vue                                           | Vue        |        615 |         20 |         80 |        715 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/ProductDialog.vue                                                  | Vue        |        625 |         20 |         67 |        712 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/ProductUsageWarningDialog.vue                                      | Vue        |        146 |          2 |         22 |        170 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/ProductsFilters.vue                                                | Vue        |        270 |          8 |         35 |        313 |
