Date : 2025-12-26 11:04:30
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 150 files,  9953 codes, 1215 comments, 1600 blanks, all 12768 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         53 |      5,105 |        132 |        737 |      5,974 |
| TypeScript |         63 |      3,855 |        921 |        711 |      5,487 |
| MS SQL     |         33 |        954 |        162 |        141 |      1,257 |
| Markdown   |          1 |         39 |          0 |         11 |         50 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        150 |      9,953 |      1,215 |      1,600 |     12,768 |
| . (Files)                                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| About                                                                                                                                 |          1 |         39 |          0 |         11 |         50 |
| About/docs                                                                                                                            |          1 |         39 |          0 |         11 |         50 |
| About/docs/core                                                                                                                       |          1 |         39 |          0 |         11 |         50 |
| components                                                                                                                            |          1 |         10 |          1 |          1 |         12 |
| components/navigation                                                                                                                 |          1 |         10 |          1 |          1 |         12 |
| composables                                                                                                                           |          1 |        121 |         35 |         19 |        175 |
| core                                                                                                                                  |         15 |      1,287 |        293 |        213 |      1,793 |
| core (Files)                                                                                                                          |          1 |         31 |         11 |          5 |         47 |
| core/cost                                                                                                                             |          2 |        645 |        143 |        110 |        898 |
| core/decomposition                                                                                                                    |          5 |        391 |         61 |         63 |        515 |
| core/decomposition (Files)                                                                                                            |          2 |         30 |          7 |          4 |         41 |
| core/decomposition/adapters                                                                                                           |          1 |        108 |         10 |         17 |        135 |
| core/decomposition/services                                                                                                           |          1 |        196 |         36 |         36 |        268 |
| core/decomposition/utils                                                                                                              |          1 |         57 |          8 |          6 |         71 |
| core/export                                                                                                                           |          3 |       -140 |         23 |        -23 |       -140 |
| core/export (Files)                                                                                                                   |          1 |         60 |          9 |          8 |         77 |
| core/export/composables                                                                                                               |          1 |         72 |         18 |         12 |        102 |
| core/export/templates                                                                                                                 |          1 |       -272 |         -4 |        -43 |       -319 |
| core/initialization                                                                                                                   |          4 |        360 |         55 |         58 |        473 |
| router                                                                                                                                |          1 |         28 |          3 |          2 |         33 |
| stores                                                                                                                                |         43 |      1,854 |        438 |        361 |      2,653 |
| stores/catalog                                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| stores/discounts                                                                                                                      |          3 |         -1 |          8 |          5 |         12 |
| stores/discounts (Files)                                                                                                              |          2 |        -14 |          0 |          0 |        -14 |
| stores/discounts/composables                                                                                                          |          1 |         13 |          8 |          5 |         26 |
| stores/kitchen                                                                                                                        |          2 |        105 |         24 |         21 |        150 |
| stores/menu                                                                                                                           |          1 |         -6 |          1 |         -1 |         -6 |
| stores/pos                                                                                                                            |         13 |        720 |        196 |        158 |      1,074 |
| stores/pos (Files)                                                                                                                    |          2 |         10 |          6 |          2 |         18 |
| stores/pos/orders                                                                                                                     |          3 |        545 |        145 |        128 |        818 |
| stores/pos/payments                                                                                                                   |          1 |         47 |         10 |          9 |         66 |
| stores/pos/shifts                                                                                                                     |          4 |         16 |          5 |          2 |         23 |
| stores/pos/tables                                                                                                                     |          3 |        102 |         30 |         17 |        149 |
| stores/preparation                                                                                                                    |          1 |         39 |          4 |          1 |         44 |
| stores/productsStore                                                                                                                  |          2 |         12 |          3 |          0 |         15 |
| stores/recipes                                                                                                                        |          5 |        541 |         90 |        102 |        733 |
| stores/recipes (Files)                                                                                                                |          2 |        168 |         36 |         28 |        232 |
| stores/recipes/composables                                                                                                            |          3 |        373 |         54 |         74 |        501 |
| stores/sales                                                                                                                          |          2 |        105 |         11 |         11 |        127 |
| stores/sales (Files)                                                                                                                  |          1 |        -26 |         -1 |         -6 |        -33 |
| stores/sales/recipeWriteOff                                                                                                           |          1 |        131 |         12 |         17 |        160 |
| stores/storage                                                                                                                        |          6 |        109 |         34 |         21 |        164 |
| stores/storage (Files)                                                                                                                |          4 |        102 |         26 |         16 |        144 |
| stores/storage/composables                                                                                                            |          2 |          7 |          8 |          5 |         20 |
| stores/supplier_2                                                                                                                     |          7 |        227 |         67 |         43 |        337 |
| stores/supplier_2 (Files)                                                                                                             |          3 |         30 |         13 |          4 |         47 |
| stores/supplier_2/composables                                                                                                         |          4 |        197 |         54 |         39 |        290 |
| supabase                                                                                                                              |         33 |        954 |        162 |        141 |      1,257 |
| supabase/migrations                                                                                                                   |         33 |        954 |        162 |        141 |      1,257 |
| supabase/migrations (Files)                                                                                                           |         19 |        178 |       -143 |         -5 |         30 |
| supabase/migrations/archive_migration                                                                                                 |         14 |        776 |        305 |        146 |      1,227 |
| types                                                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| utils                                                                                                                                 |          2 |        119 |         90 |         41 |        250 |
| views                                                                                                                                 |         51 |      5,535 |        193 |        810 |      6,538 |
| views/backoffice                                                                                                                      |          3 |        557 |         21 |         52 |        630 |
| views/backoffice/analytics                                                                                                            |          2 |        545 |         21 |         49 |        615 |
| views/backoffice/inventory                                                                                                            |          1 |         12 |          0 |          3 |         15 |
| views/catalog                                                                                                                         |          2 |        107 |          0 |          7 |        114 |
| views/catalog/payment-methods                                                                                                         |          2 |        107 |          0 |          7 |        114 |
| views/counteragents                                                                                                                   |          1 |         -1 |          0 |          0 |         -1 |
| views/counteragents/components                                                                                                        |          1 |         -1 |          0 |          0 |         -1 |
| views/counteragents/components/counteragents                                                                                          |          1 |         -1 |          0 |          0 |         -1 |
| views/kitchen                                                                                                                         |          8 |      1,290 |         91 |        238 |      1,619 |
| views/kitchen (Files)                                                                                                                 |          1 |          4 |          1 |          1 |          6 |
| views/kitchen/calculator                                                                                                              |          5 |      1,220 |         89 |        224 |      1,533 |
| views/kitchen/calculator (Files)                                                                                                      |          1 |        188 |          5 |         35 |        228 |
| views/kitchen/calculator/components                                                                                                   |          3 |        861 |         26 |        157 |      1,044 |
| views/kitchen/calculator/composables                                                                                                  |          1 |        171 |         58 |         32 |        261 |
| views/kitchen/components                                                                                                              |          1 |         25 |          1 |          3 |         29 |
| views/kitchen/orders                                                                                                                  |          1 |         41 |          0 |         10 |         51 |
| views/menu                                                                                                                            |          4 |        334 |          9 |         52 |        395 |
| views/menu (Files)                                                                                                                    |          1 |        112 |          4 |         21 |        137 |
| views/menu/components                                                                                                                 |          3 |        222 |          5 |         31 |        258 |
| views/menu/components (Files)                                                                                                         |          2 |         33 |          2 |          3 |         38 |
| views/menu/components/dialogs                                                                                                         |          1 |        189 |          3 |         28 |        220 |
| views/pos                                                                                                                             |         15 |      1,028 |         21 |        164 |      1,213 |
| views/pos (Files)                                                                                                                     |          1 |         14 |          0 |          1 |         15 |
| views/pos/components                                                                                                                  |          1 |         35 |         -1 |          5 |         39 |
| views/pos/order                                                                                                                       |          9 |        917 |         20 |        148 |      1,085 |
| views/pos/order (Files)                                                                                                               |          1 |        231 |          1 |         40 |        272 |
| views/pos/order/components                                                                                                            |          4 |         94 |          4 |         26 |        124 |
| views/pos/order/dialogs                                                                                                               |          4 |        592 |         15 |         82 |        689 |
| views/pos/payment                                                                                                                     |          1 |         63 |          0 |          7 |         70 |
| views/pos/shifts                                                                                                                      |          2 |         18 |          2 |          6 |         26 |
| views/pos/shifts (Files)                                                                                                              |          1 |          1 |          2 |          4 |          7 |
| views/pos/shifts/dialogs                                                                                                              |          1 |         17 |          0 |          2 |         19 |
| views/pos/tables                                                                                                                      |          1 |        -19 |          0 |         -3 |        -22 |
| views/products                                                                                                                        |          4 |         32 |          0 |          2 |         34 |
| views/products (Files)                                                                                                                |          1 |         21 |          0 |          2 |         23 |
| views/products/components                                                                                                             |          3 |         11 |          0 |          0 |         11 |
| views/products/components (Files)                                                                                                     |          2 |         14 |          0 |          0 |         14 |
| views/products/components/package                                                                                                     |          1 |         -3 |          0 |          0 |         -3 |
| views/recipes                                                                                                                         |          4 |        673 |         16 |         71 |        760 |
| views/recipes (Files)                                                                                                                 |          1 |        338 |          7 |         35 |        380 |
| views/recipes/components                                                                                                              |          3 |        335 |          9 |         36 |        380 |
| views/recipes/components (Files)                                                                                                      |          1 |        307 |          9 |         34 |        350 |
| views/recipes/components/widgets                                                                                                      |          2 |         28 |          0 |          2 |         30 |
| views/supplier_2                                                                                                                      |         10 |      1,515 |         35 |        224 |      1,774 |
| views/supplier_2 (Files)                                                                                                              |          1 |         20 |          2 |          3 |         25 |
| views/supplier_2/components                                                                                                           |          9 |      1,495 |         33 |        221 |      1,749 |
| views/supplier_2/components/orders                                                                                                    |          6 |        376 |         13 |         67 |        456 |
| views/supplier_2/components/receipts                                                                                                  |          3 |      1,119 |         20 |        154 |      1,293 |
| views/supplier_2/components/receipts (Files)                                                                                          |          2 |      1,069 |         20 |        145 |      1,234 |
| views/supplier_2/components/receipts/receipt-edit                                                                                     |          1 |         50 |          0 |          9 |         59 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/peaker/dev/kitchen-app/backoffice/src/About/docs/core/database-backup-restore.md                                               | Markdown   |         39 |          0 |         11 |         50 |
| /Users/peaker/dev/kitchen-app/backoffice/src/App.vue                                                                                  | Vue        |          3 |          0 |          1 |          4 |
| /Users/peaker/dev/kitchen-app/backoffice/src/components/navigation/NavigationMenu.vue                                                 | Vue        |         10 |          1 |          1 |         12 |
| /Users/peaker/dev/kitchen-app/backoffice/src/composables/useWebShare.ts                                                               | TypeScript |        121 |         35 |         19 |        175 |
| /Users/peaker/dev/kitchen-app/backoffice/src/core/appInitializer.ts                                                                   | TypeScript |         31 |         11 |          5 |         47 |
| /Users/peaker/dev/kitchen-app/backoffice/src/core/cost/menuCostCalculator.ts                                                          | TypeScript |        564 |        103 |         87 |        754 |
| /Users/peaker/dev/kitchen-app/backoffice/src/core/cost/types.ts                                                                       | TypeScript |         81 |         40 |         23 |        144 |
| /Users/peaker/dev/kitchen-app/backoffice/src/core/decomposition/DecompositionEngine.ts                                                | TypeScript |         17 |          4 |          1 |         22 |
| /Users/peaker/dev/kitchen-app/backoffice/src/core/decomposition/adapters/CostAdapter.ts                                               | TypeScript |        108 |         10 |         17 |        135 |
