"filename", "language", "Vue", "Markdown", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_8_Supplier.md", "Markdown", 0, 186, 0, 0, 72, 258
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/mockDataCoordinator.ts", "TypeScript", 0, 0, 474, 15, 87, 576
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/supplierDefinitions.ts", "TypeScript", 0, 0, 436, 40, 41, 517
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/__tests__/supplierIntegration.test.ts", "TypeScript", 0, 0, 363, 22, 55, 440
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useOrderAssistant.ts", "TypeScript", 0, 0, 838, 105, 196, 1139
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/usePurchaseOrders.ts", "TypeScript", 0, 0, 56, 27, 29, 112
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useReceipts.ts", "TypeScript", 0, 0, 181, 2, 27, 210
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/supplierService.ts", "TypeScript", 0, 0, 319, 50, 68, 437
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/supplierStore.ts", "TypeScript", 0, 0, 650, 155, 186, 991
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/types/supplierIntegrationTypes.ts", "TypeScript", 0, 0, 163, 82, 33, 278
"/Users/peaker/dev/kitchen-app/backoffice/src/utils/time.ts", "TypeScript", 0, 0, 224, 84, 35, 343
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/SupplierView.vue", "Vue", -10, 0, 0, 0, 17, 7
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/BaseSupplierBaskets.vue", "Vue", -15, 0, 0, 7, 8, 0
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderTable.vue", "Vue", 28, 0, 0, 0, 0, 28
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/ProcurementRequestTable.vue", "Vue", -156, 0, 0, -2, -26, -184
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/RequestDetailsDialog.vue", "Vue", 440, 0, 0, 14, 61, 515
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/receipts/ReceiptTable.vue", "Vue", 21, 0, 0, 0, -1, 20
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/shared/BaseOrderAssistant.vue", "Vue", -101, 0, 0, 4, -28, -125
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/SupplierView.vue", "Vue", -760, 0, 0, -17, -92, -869
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/consolidation/BillsManagementCard.vue", "Vue", -701, 0, 0, -13, -72, -786
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/consolidation/ConsolidationPreviewCard.vue", "Vue", -313, 0, 0, -11, -33, -357
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/consolidation/NewOrdersTab.vue", "Vue", -437, 0, 0, -17, -60, -514
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/consolidation/RequestSelectionCard.vue", "Vue", -448, 0, 0, -13, -55, -516
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/consolidation/StatusIndicator.vue", "Vue", -210, 0, 0, -8, -28, -246
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/consolidation/WorkflowStatusIndicator.vue", "Vue", -472, 0, 0, -10, -62, -544
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/consolidation/index.ts", "TypeScript", 0, 0, -278, -96, -57, -431
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/procurement/OrderAssistantDialog.vue", "Vue", -649, 0, 0, -11, -86, -746
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/procurement/ProcurementRequestDialog.vue", "Vue", -797, 0, 0, -9, -94, -900
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/procurement/ProcurementTable.vue", "Vue", -805, 0, 0, -20, -106, -931
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/purchase/AcceptanceTable.vue", "Vue", -1151, 0, 0, -26, -141, -1318
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/purchase/PurchaseOrderDialog.vue", "Vue", -1021, 0, 0, -11, -103, -1135
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/purchase/PurchaseOrderTable.vue", "Vue", -1046, 0, 0, -23, -134, -1203
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/purchase/ReceiptAcceptanceDialog.vue", "Vue", -923, 0, 0, -14, -98, -1035
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/supplier/SupplierDialog.vue", "Vue", -535, 0, 0, -7, -62, -604
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/components/supplier/SupplierTable.vue", "Vue", -557, 0, 0, -15, -65, -637
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_back/index.ts", "TypeScript", 0, 0, -228, -120, -49, -397
"Total", "-", -10618, 186, 3198, 164, -537, -7607
