"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/About.md", "Markdown", 0, 0, 0, 0, 23, 0, 7, 30
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/MeasurementUnits.md", "Markdown", 0, 0, 0, 0, 724, 0, 228, 952
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Base/Style.md", "Markdown", 0, 0, 0, 0, 96, 0, 31, 127
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_1_road.md", "Markdown", 0, 0, 0, 0, 126, 0, 43, 169
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_4.md", "Markdown", 0, 0, 0, 0, 474, 0, 162, 636
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_5.md", "Markdown", 0, 0, 0, 0, 481, 0, 122, 603
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_5_3.md", "Markdown", 0, 0, 0, 0, 552, 0, 136, 688
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_5_31.md", "Markdown", 0, 0, 0, 0, 1339, 0, 299, 1638
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_6.md", "Markdown", 0, 0, 0, 0, 518, 0, 110, 628
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_6_1.md", "Markdown", 0, 0, 0, 0, 739, 0, 152, 891
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_7_1.md", "Markdown", 0, 0, 0, 0, 244, 0, 74, 318
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_8_Supplier.md", "Markdown", 0, 0, 0, 0, 186, 0, 72, 258
"/Users/peaker/dev/kitchen-app/backoffice/src/About/Stage_9_batche.md", "Markdown", 0, 0, 0, 0, 925, 0, 215, 1140
"/Users/peaker/dev/kitchen-app/backoffice/src/App.vue", "Vue", 0, 0, 18, 0, 0, 0, 4, 22
"/Users/peaker/dev/kitchen-app/backoffice/src/assets/vue.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/peaker/dev/kitchen-app/backoffice/src/components/auth/PinInput.vue", "Vue", 0, 0, 91, 0, 0, 0, 16, 107
"/Users/peaker/dev/kitchen-app/backoffice/src/components/base/BaseDialog.vue", "Vue", 0, 0, 124, 0, 0, 0, 14, 138
"/Users/peaker/dev/kitchen-app/backoffice/src/components/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/peaker/dev/kitchen-app/backoffice/src/components/navigation/AlertsBadge.vue", "Vue", 0, 0, 132, 0, 0, 4, 22, 158
"/Users/peaker/dev/kitchen-app/backoffice/src/components/navigation/DebugStoresBadge.vue", "Vue", 0, 0, 54, 0, 0, 1, 13, 68
"/Users/peaker/dev/kitchen-app/backoffice/src/components/navigation/NavigationAccounts.vue", "Vue", 0, 0, 78, 0, 0, 1, 6, 85
"/Users/peaker/dev/kitchen-app/backoffice/src/components/navigation/NavigationMenu.vue", "Vue", 0, 0, 264, 0, 0, 45, 35, 344
"/Users/peaker/dev/kitchen-app/backoffice/src/components/navigation/StorageAlertsBadge.vue", "Vue", 0, 0, 46, 0, 0, 3, 9, 58
"/Users/peaker/dev/kitchen-app/backoffice/src/components/payment-settings/PaymentMethodDialog.vue", "Vue", 0, 0, 85, 0, 0, 0, 11, 96
"/Users/peaker/dev/kitchen-app/backoffice/src/components/payment-settings/PaymentMethodList.vue", "Vue", 0, 0, 76, 0, 0, 0, 12, 88
"/Users/peaker/dev/kitchen-app/backoffice/src/components/payment-settings/TaxDialog.vue", "Vue", 0, 0, 84, 0, 0, 0, 8, 92
"/Users/peaker/dev/kitchen-app/backoffice/src/components/payment-settings/TaxList.vue", "Vue", 0, 0, 59, 0, 0, 0, 12, 71
"/Users/peaker/dev/kitchen-app/backoffice/src/composables/useDialogForm.ts", "TypeScript", 59, 0, 0, 0, 0, 6, 10, 75
"/Users/peaker/dev/kitchen-app/backoffice/src/composables/useMeasurementUnits.ts", "TypeScript", 211, 0, 0, 0, 0, 82, 49, 342
"/Users/peaker/dev/kitchen-app/backoffice/src/composables/useVuetifyBreakpoints.ts", "TypeScript", 19, 0, 0, 0, 0, 4, 5, 28
"/Users/peaker/dev/kitchen-app/backoffice/src/config/users.ts", "TypeScript", 66, 0, 0, 0, 0, 4, 8, 78
"/Users/peaker/dev/kitchen-app/backoffice/src/core/appInitializer.ts", "TypeScript", 359, 0, 0, 0, 0, 61, 88, 508
"/Users/peaker/dev/kitchen-app/backoffice/src/core/appInitializerTests.ts", "TypeScript", 469, 0, 0, 0, 0, 88, 100, 657
"/Users/peaker/dev/kitchen-app/backoffice/src/firebase/config.ts", "TypeScript", 33, 0, 0, 0, 0, 1, 11, 45
"/Users/peaker/dev/kitchen-app/backoffice/src/firebase/converters.ts", "TypeScript", 45, 0, 0, 0, 0, 1, 4, 50
"/Users/peaker/dev/kitchen-app/backoffice/src/firebase/services/base.service.ts", "TypeScript", 81, 0, 0, 0, 0, 1, 10, 92
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/AuthLayout.vue", "Vue", 0, 0, 23, 0, 0, 1, 4, 28
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/EmptyLayout.vue", "Vue", 0, 0, 12, 0, 0, 1, 3, 16
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/MainLayout.vue", "Vue", 0, 0, 32, 0, 0, 1, 7, 40
"/Users/peaker/dev/kitchen-app/backoffice/src/main.ts", "TypeScript", 45, 0, 0, 0, 0, 14, 18, 77
"/Users/peaker/dev/kitchen-app/backoffice/src/plugins/vuetify.ts", "TypeScript", 55, 0, 0, 0, 0, 4, 2, 61
