"filename", "language", "Vue", "Markdown", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/detail/AccountOperations.vue", "Vue", 173, 0, 0, 0, 20, 193
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/detail/AccountOperationsFilter.vue", "Vue", 121, 0, 0, 0, 21, 142
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/AccountDialog.vue", "Vue", 173, 0, 0, 0, 19, 192
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/CorrectionDialog.vue", "Vue", 153, 0, 0, 4, 20, 177
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/OperationDialog.vue", "Vue", 179, 0, 0, 2, 20, 201
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/PaymentDialog.vue", "Vue", 650, 0, 0, 20, 86, 756
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/TransferDialog.vue", "Vue", 114, 0, 0, 0, 9, 123
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/list/AccountList.vue", "Vue", 195, 0, 0, 3, 25, 223
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/list/AccountListToolbar.vue", "Vue", 46, 0, 0, 0, 8, 54
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/list/PaymentConfirmationDialog.vue", "Vue", 270, 0, 0, 4, 37, 311
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/list/PendingPaymentsWidget.vue", "Vue", 196, 0, 0, 5, 33, 234
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/StorageView.vue", "Vue", -81, 0, 0, 1, -3, -83
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/InventoryDialog.vue", "Vue", 148, 0, 0, 0, 19, 167
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/ItemDetailsDialog.vue", "Vue", 22, 0, 0, 2, 15, 39
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/StorageStockTable.vue", "Vue", 122, 0, 0, 4, 26, 152
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/ProductSelectorWidget.vue", "Vue", 64, 0, 0, 1, 5, 70
"/Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/WriteOffQuantityDialog.vue", "Vue", 26, 0, 0, 0, 2, 28
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/SupplierView.vue", "Vue", 426, 0, 0, 8, 94, 528
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/BillCard.vue", "Vue", 243, 0, 0, 7, 36, 286
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/BillStatus.vue", "Vue", 102, 0, 0, 6, 17, 125
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderDetailsDialog.vue", "Vue", 379, 0, 0, 6, 66, 451
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderEditDialog.vue", "Vue", 503, 0, 0, 14, 72, 589
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderPayment.vue", "Vue", 401, 0, 0, 11, 59, 471
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderTable.vue", "Vue", -258, 0, 0, -14, -22, -294
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/ShortfallAlert.vue", "Vue", 96, 0, 0, 2, 17, 115
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/AddItemDialog.vue", "Vue", 517, 0, 0, 8, 77, 602
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/ProcurementRequestTable.vue", "Vue", 10, 0, 0, 0, 6, 16
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/RequestDetailsDialog.vue", "Vue", 78, 0, 0, 0, 18, 96
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/RequestEditDialog.vue", "Vue", 434, 0, 0, 19, 71, 524
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/receipts/BaseReceiptDialog.vue", "Vue", -103, 0, 0, 0, -11, -114
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/shared/BaseOrderAssistant.vue", "Vue", 430, 0, 0, 20, 92, 542
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/shared/SuggestionItemCard.vue", "Vue", 389, 0, 0, 14, 79, 482
"Total", "-", 4599, 1650, 918, 296, 1473, 8936
