Date : 2025-09-03 21:38:40
Directory : /Users/peaker/dev/kitchen-app/backoffice/src
Total : 79 files,  7167 codes, 296 comments, 1473 blanks, all 8936 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         44 |      4,599 |        129 |        820 |      5,548 |
| Markdown   |          6 |      1,650 |          0 |        444 |      2,094 |
| TypeScript |         29 |        918 |        167 |        209 |      1,294 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/storageStore.ts                                      | TypeScript |        164 |         -6 |         43 |        201 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/storage/types.ts                                             | TypeScript |         25 |          0 |          6 |         31 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useOrderAssistant.ts                  | TypeScript |       -584 |        -45 |       -128 |       -757 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/usePurchaseOrders.ts                  | TypeScript |        194 |         28 |         36 |        258 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/composables/useReceipts.ts                        | TypeScript |         11 |          8 |          2 |         21 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/index.ts                                          | TypeScript |        -18 |         -3 |         -2 |        -23 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/integrations/accountIntegration.ts                | TypeScript |        225 |         23 |         46 |        294 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/integrations/index.ts                             | TypeScript |         17 |         15 |          9 |         41 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/integrations/plannedDeliveryIntegration.ts        | TypeScript |        167 |         84 |         44 |        295 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/integrations/storageIntegration.ts                | TypeScript |        428 |         53 |         99 |        580 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/mock/supplierMock.ts                              | TypeScript |       -360 |        -32 |        -83 |       -475 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/supplierService.ts                                | TypeScript |         71 |        -29 |          2 |         44 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/supplierStore.ts                                  | TypeScript |        151 |       -142 |         -5 |          4 |
| /Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/types.ts                                          | TypeScript |          9 |          2 |          1 |         12 |
| /Users/peaker/dev/kitchen-app/backoffice/src/utils/index.ts                                                      | TypeScript |          1 |          0 |          0 |          1 |
| /Users/peaker/dev/kitchen-app/backoffice/src/utils/quantityFormatter.ts                                          | TypeScript |        181 |         52 |         43 |        276 |
| /Users/peaker/dev/kitchen-app/backoffice/src/utils/time.ts                                                       | TypeScript |         20 |          6 |          3 |         29 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/AccountDetailView.vue                                | Vue        |          1 |          0 |          0 |          1 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/AccountListView.vue                                  | Vue        |          0 |          0 |         -1 |         -1 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/detail/AccountOperations.vue              | Vue        |        173 |          0 |         20 |        193 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/detail/AccountOperationsFilter.vue        | Vue        |        121 |          0 |         21 |        142 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/AccountDialog.vue                 | Vue        |        173 |          0 |         19 |        192 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/CorrectionDialog.vue              | Vue        |        153 |          4 |         20 |        177 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/OperationDialog.vue               | Vue        |        179 |          2 |         20 |        201 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/PaymentDialog.vue                 | Vue        |        650 |         20 |         86 |        756 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/dialogs/TransferDialog.vue                | Vue        |        114 |          0 |          9 |        123 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/list/AccountList.vue                      | Vue        |        195 |          3 |         25 |        223 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/list/AccountListToolbar.vue               | Vue        |         46 |          0 |          8 |         54 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/list/PaymentConfirmationDialog.vue        | Vue        |        270 |          4 |         37 |        311 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/list/PendingPaymentsWidget.vue            | Vue        |        196 |          5 |         33 |        234 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/storage/StorageView.vue                                       | Vue        |        -81 |          1 |         -3 |        -83 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/InventoryDialog.vue                        | Vue        |        148 |          0 |         19 |        167 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/ItemDetailsDialog.vue                      | Vue        |         22 |          2 |         15 |         39 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/StorageStockTable.vue                      | Vue        |        122 |          4 |         26 |        152 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/ProductSelectorWidget.vue         | Vue        |         64 |          1 |          5 |         70 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/storage/components/writeoff/WriteOffQuantityDialog.vue        | Vue        |         26 |          0 |          2 |         28 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/SupplierView.vue                                   | Vue        |        426 |          8 |         94 |        528 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/BillCard.vue                     | Vue        |        243 |          7 |         36 |        286 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/BillStatus.vue                   | Vue        |        102 |          6 |         17 |        125 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderDetailsDialog.vue   | Vue        |        379 |          6 |         66 |        451 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderEditDialog.vue      | Vue        |        503 |         14 |         72 |        589 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderPayment.vue         | Vue        |        401 |         11 |         59 |        471 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderTable.vue           | Vue        |       -258 |        -14 |        -22 |       -294 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/ShortfallAlert.vue               | Vue        |         96 |          2 |         17 |        115 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/AddItemDialog.vue           | Vue        |        517 |          8 |         77 |        602 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/ProcurementRequestTable.vue | Vue        |         10 |          0 |          6 |         16 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/RequestDetailsDialog.vue    | Vue        |         78 |          0 |         18 |         96 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/procurement/RequestEditDialog.vue       | Vue        |        434 |         19 |         71 |        524 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/receipts/BaseReceiptDialog.vue          | Vue        |       -103 |          0 |        -11 |       -114 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/shared/BaseOrderAssistant.vue           | Vue        |        430 |         20 |         92 |        542 |
| /Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/shared/SuggestionItemCard.vue           | Vue        |        389 |         14 |         79 |        482 |
| Total                                                                                                            |            |      7,167 |        296 |      1,473 |      8,936 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
