"filename", "language", "TypeScript", "Markdown", "XML", "Vue", "SCSS", "MS SQL", "Python", "JSON", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/supplier_2/types/supplierIntegrationTypes.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 0, 0, 82, 33, 278
"/Users/peaker/dev/kitchen-app/backoffice/src/styles/main.scss", "SCSS", 0, 0, 0, 0, 387, 0, 0, 0, 56, 55, 498
"/Users/peaker/dev/kitchen-app/backoffice/src/styles/variables.scss", "SCSS", 0, 0, 0, 0, 180, 0, 0, 0, 57, 37, 274
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/README.md", "Markdown", 0, 198, 0, 0, 0, 0, 0, 0, 0, 94, 292
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/client.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 49, 20, 150
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/config.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 22, 7, 73
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/index.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/060_update_food_cost_kpi_inventory_dept.sql", "MS SQL", 0, 0, 0, 0, 0, 135, 0, 0, 34, 14, 183
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/061_add_item_cancellation_fields.sql", "MS SQL", 0, 0, 0, 0, 0, 14, 0, 0, 6, 4, 24
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/062_add_cogs_indexes.sql", "MS SQL", 0, 0, 0, 0, 0, 9, 0, 0, 10, 6, 25
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/063_create_cogs_date_range_function.sql", "MS SQL", 0, 0, 0, 0, 0, 128, 0, 0, 23, 12, 163
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/064_create_kpi_settings_table.sql", "MS SQL", 0, 0, 0, 0, 0, 34, 0, 0, 11, 9, 54
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/065_drop_old_kpi_function.sql", "MS SQL", 0, 0, 0, 0, 0, 1, 0, 0, 10, 4, 15
